Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,0,0.0009605902911002552,10.0,747
CIFAR10,ViT,Head,100,TD,8,0,0.0015931636405361624,3.299,424
CIFAR10,ViT,Head,100,TD,8,0,0.0015687616979757854,6.993,446
CIFAR10,ViT,Head,100,TD,8,0,0.002499548868813358,0.2,917
CIFAR10,ViT,Head,100,TD,8,0,0.0021731698953178086,6.567,734
CIFAR10,ViT,Head,100,TD,8,0,0.0021982546075736413,10.0,756
CIFAR10,ViT,Head,100,TD,8,0,0.0013713133907742553,0.332,939
CIFAR10,ViT,Head,100,TD,8,0,0.0006581772970333356,3.471,226
CIFAR10,ViT,Head,100,TD,8,0,0.0008406881056883843,4.301,255
CIFAR10,ViT,Head,100,TD,8,0,0.001563878033481801,4.069,681
CIFAR10,ViT,Head,100,TD,8,0,0.0018442867450949713,9.178,504
CIFAR10,ViT,Head,100,TD,8,0,0.001066434588427776,2.353,541
CIFAR10,ViT,Head,100,TD,8,0,0.0037286029933452877,0.773,859
CIFAR10,ViT,Head,100,TD,8,0,0.0012967881811849812,3.398,618
CIFAR10,ViT,Head,100,TD,8,0,0.002451257183924489,5.627,739
CIFAR10,ViT,Head,100,TD,8,0,0.0013173893531535491,7.992,346
CIFAR10,ViT,Head,100,TD,8,0,0.0033073574415126753,4.292,827
CIFAR10,ViT,Head,100,TD,8,0,0.0020343468304651656,9.648,875
CIFAR10,ViT,Head,100,TD,8,0,0.002926028432902182,3.002,761
CIFAR10,ViT,Head,100,TD,8,0,0.0018162159313794733,6.515,716
CIFAR10,ViT,Head,100,TD,8,0,0.003081213120929465,3.162,667
CIFAR10,ViT,Head,100,TD,8,0,0.0026781876584954156,2.597,890
CIFAR10,ViT,Head,100,TD,8,0,0.00360814624144015,7.622,844
CIFAR10,ViT,Head,100,TD,8,0,0.0013655321437772642,9.965,323
CIFAR10,ViT,Head,100,TD,8,0,0.0038020884906890783,3.055,995
CIFAR10,ViT,Head,100,TD,8,0,0.0021676743972543384,4.701,846
CIFAR10,ViT,Head,100,TD,8,0,0.001383489659871452,0.944,952
CIFAR10,ViT,Head,100,TD,8,0,0.0029964444631261655,2.939,1000
CIFAR10,ViT,Head,100,TD,8,0,0.004880240250797909,1.546,729
CIFAR10,ViT,Head,100,TD,8,0,0.0026383357852909047,0.723,833
CIFAR10,ViT,Head,100,TD,8,0,0.003264253030482691,4.576,913
CIFAR10,ViT,Head,100,TD,8,0,0.0015951534151464589,1.221,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0018504807676263339,2.751,872
CIFAR10,ViT,Head,100,TD,8,0,0.0007849535732723808,5.882,408
CIFAR10,ViT,Head,100,TD,8,0,0.000844219054010934,8.772,538
CIFAR10,ViT,Head,100,TD,8,0,0.0010127489532108069,3.028,306
CIFAR10,ViT,Head,100,TD,8,0,0.002765126860740898,3.847,959
CIFAR10,ViT,Head,100,TD,8,0,0.002143397374723018,7.139,866
CIFAR10,ViT,Head,100,TD,8,0,0.0018760536390917137,1.74,531
CIFAR10,ViT,Head,100,TD,8,0,0.0008767201175735469,0.2,1000
CIFAR10,ViT,Head,100,TD,8,0,0.0013339350529519246,6.115,515
CIFAR10,ViT,Head,100,TD,8,0,0.0018183314895742857,8.358,220
CIFAR10,ViT,Head,100,TD,8,0,0.0013339963027634643,1.328,613
CIFAR10,ViT,Head,100,TD,8,0,0.0014404310751061026,5.623,808
CIFAR10,ViT,Head,100,TD,8,0,0.0011595955199082948,0.676,171
CIFAR10,ViT,Head,100,TD,8,0,0.003860827685239654,8.641,845
CIFAR10,ViT,Head,100,TD,8,0,0.002073183509322247,5.247,521
CIFAR10,ViT,Head,100,TD,8,0,0.0013211071892551662,2.034,415
CIFAR10,ViT,Head,100,TD,8,0,0.0007605686786702792,2.669,310
CIFAR10,ViT,Head,100,TD,8,0,0.0012885342376445755,0.2,610
CIFAR10,ViT,Head,100,TD,8,0,0.0060997956541182004,0.2,774
CIFAR10,ViT,Head,100,TD,8,0,0.001407554428399814,0.952,1000
CIFAR10,ViT,Head,100,TD,8,0,0.003969551822338981,0.447,700
CIFAR10,ViT,Head,100,TD,8,0,0.0017528567163419453,1.467,551
CIFAR10,ViT,Head,100,TD,8,0,0.0028555138002244415,2.577,536
CIFAR10,ViT,Head,100,TD,8,0,0.002261228682009113,3.701,880
CIFAR10,ViT,Head,100,TD,8,0,0.004855278133077965,1.599,829
CIFAR10,ViT,Head,100,TD,8,0,0.0020758101309100107,5.658,895
CIFAR10,ViT,Head,100,TD,8,0,0.0013416409327320074,9.312,872
CIFAR10,ViT,Head,100,TD,8,0,0.0013154875538301028,3.506,993
CIFAR10,ViT,Head,100,TD,8,0,0.002150548658722259,4.879,546
CIFAR10,ViT,Head,100,TD,8,0,0.001220102508980528,1.829,907
CIFAR10,ViT,Head,100,TD,8,0,0.002631972998318525,0.584,421
CIFAR10,ViT,Head,100,TD,8,0,0.0031165788136541675,4.609,462
CIFAR10,ViT,Head,100,TD,8,0,0.002202793282580367,1.187,929
CIFAR10,ViT,Head,100,TD,8,0,0.0025001788419574266,0.2,712
CIFAR10,ViT,Head,100,TD,8,0,0.00011124004182098674,3.633,264
CIFAR10,ViT,Head,100,TD,8,0,0.0029120668817753984,6.953,650
