Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS,total_steps,sample_rate,noise_multiplier,eps for delta 0.1,eps for delta 0.01,eps for delta 0.001,eps for delta 0.0001,eps for delta 1e-05,eps for delta 1e-06,eps for delta 1e-07,eps for delta 1e-08
CIFAR10,ViT,Head,100,TD,1,0,0.0020818797476749,2.344,124,320,0.125,8.55859375,0.0196583971094364,0.395995100952061,0.6407449839811559,0.8331726973926461,0.9962045935414228,1.1399557005069658,1.2698812225878957,1.3892995620137518
CIFAR10,ViT,Head,100,TD,1,0,0.0033034151765566,4.466,426,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0032912373106738,5.308,532,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0043615228541332,0.633,958,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.000443256246755,0.791,10,4000,0.01,2.522186279296875,0.0185198739564542,0.3938480658950463,0.6380894158648284,0.8302474602892324,0.9931522553926814,1.1368730128909286,1.2668391141511386,1.386353327075144
CIFAR10,ViT,Head,100,TD,1,0,0.0033541449519483,5.392,425,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0032110594744671,6.59,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0006581772970333,3.471,226,160,0.25,12.029296875,0.020749995475881,0.3981242081366516,0.6434611258111926,0.8362588603306021,0.999530968985057,1.143434508982176,1.273448318876794,1.3929052324910218
CIFAR10,ViT,Head,100,TD,1,0,0.0049577833540121,0.302,507,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0053422809863986,0.2,776,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0035630112617276,10.0,772,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.00653194246218,1.126,784,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0052502854753444,2.299,738,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0032206977219917,6.639,190,200,0.2,10.8154296875,0.0195977406695146,0.3956679659519202,0.6401087861483753,0.832214980371961,0.994919652872887,1.1383405029624556,1.2679338883562576,1.3870184161808097
CIFAR10,ViT,Head,100,TD,1,0,0.0024379338747326,7.388,604,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0008341716152479,2.9,102,360,0.1111111111111111,8.06005859375,0.0200270764462643,0.3968589279143641,0.6419983528391439,0.8347592468106643,0.9980892051378248,1.1421142097519066,1.2722957305663205,1.3919561509937128
