Model,Dataset,Shots,Parameterization,DP,MIA,FPR,p_value(KS),p_value(Wald),p_value(Welch),mu(ed-td)
ViT,CIFAR10,100,Head,-1,ACC-LiRA,0.001,0.47619047619047616,0.6353321887188148,0.6178635511076405,0.0009591561540332003
ViT,CIFAR10,100,Head,-1,ACC-LiRA,0.01,0.47619047619047616,0.7494018158893613,0.7195148724015152,0.002068433144172807
ViT,CIFAR10,100,Head,-1,ACC-LiRA,0.1,0.8333333333333334,0.6327866143968761,0.6200774334331711,0.0008277986823954087
ViT,CIFAR10,100,Head,-1,WB-LiRA,0.001,0.47619047619047616,0.643145585130187,0.6289042177022547,0.0006522008203566493
ViT,CIFAR10,100,Head,-1,WB-LiRA,0.01,0.17857142857142855,0.8972497318617554,0.8686451438169946,0.002214293863937039
ViT,CIFAR10,100,Head,-1,WB-LiRA,0.1,0.47619047619047616,0.6740775694057348,0.6569171442664181,0.0013492443477274296
ViT,CIFAR10,100,Head,-1,KL-LiRA,0.001,0.47619047619047616,0.9003745277482447,0.858243753853492,0.010934125004167239
ViT,CIFAR10,100,Head,-1,KL-LiRA,0.01,0.17857142857142855,0.973115601865888,0.9412792061548225,0.006127329994962419
ViT,CIFAR10,100,Head,-1,KL-LiRA,0.1,0.47619047619047616,0.8353413924470438,0.8046330987587411,0.0028494007327552473
ViT,CIFAR10,100,Head,8,ACC-LiRA,0.001,1.0,0.045933753662417164,0.06892328767681405,-0.0003040567174340204
ViT,CIFAR10,100,Head,8,ACC-LiRA,0.01,1.0,0.013582464255721724,0.036480083550451944,-0.0018055986508324975
ViT,CIFAR10,100,Head,8,ACC-LiRA,0.1,0.8333333333333334,0.40941893789173645,0.40487093987876227,-0.00025572201153051255
ViT,CIFAR10,100,Head,8,WB-LiRA,0.001,1.0,0.0886564558579887,0.10084625154745222,-0.0003537544038875601
ViT,CIFAR10,100,Head,8,WB-LiRA,0.01,0.8333333333333334,0.09789933927233024,0.1050060925657761,-0.0007788993843962019
ViT,CIFAR10,100,Head,8,WB-LiRA,0.1,1.0,0.1607673645785727,0.18657781273661625,-0.0020233810864917767
ViT,CIFAR10,100,Head,8,KL-LiRA,0.001,0.8333333333333334,0.31166147738391037,0.3327829535862603,-0.00021248202913908
ViT,CIFAR10,100,Head,8,KL-LiRA,0.01,1.0,0.19109204063555219,0.22047363080804505,-0.0009244322019867808
ViT,CIFAR10,100,Head,8,KL-LiRA,0.1,0.8333333333333334,0.29205110675316936,0.3086219420519532,-0.0011096722240166168
ViT,CIFAR10,100,Head,1,ACC-LiRA,0.001,0.17857142857142855,0.9448630814765757,0.9526472942414123,0.00014737111809032017
ViT,CIFAR10,100,Head,1,ACC-LiRA,0.01,0.8333333333333334,0.4786041137271818,0.4768490477611726,-1.691854913423753e-05
ViT,CIFAR10,100,Head,1,ACC-LiRA,0.1,0.47619047619047616,0.8207236895749442,0.8161659329823507,0.000994209746266267
ViT,CIFAR10,100,Head,1,WB-LiRA,0.001,0.47619047619047616,0.4160903128896765,0.41017434013732057,-2.1697477849479813e-05
ViT,CIFAR10,100,Head,1,WB-LiRA,0.01,0.47619047619047616,0.7715833018915732,0.7624965215185775,0.0003101974774226794
ViT,CIFAR10,100,Head,1,WB-LiRA,0.1,0.17857142857142855,0.9022253150668855,0.9295034382069406,0.0010331709588197735
ViT,CIFAR10,100,Head,1,KL-LiRA,0.001,0.8333333333333334,0.6014107848675738,0.6028377211821212,2.9525860880100143e-05
ViT,CIFAR10,100,Head,1,KL-LiRA,0.01,0.47619047619047616,0.7614527084965255,0.7515210079499806,0.00030393964380763874
ViT,CIFAR10,100,Head,1,KL-LiRA,0.1,0.8333333333333334,0.32802719382779344,0.2995289790222192,-0.00036448324346061156
