Model,Dataset,Shots,Parameterization,DP,MIA,FPR,p_value
ViT,CIFAR10,100,Head,-1,ACC-LiRA,0.001,0.6114732909070998
ViT,CIFAR10,100,Head,-1,ACC-LiRA,0.01,0.6890549821170242
ViT,CIFAR10,100,Head,-1,ACC-LiRA,0.1,0.6017685069819152
ViT,CIFAR10,100,Head,-1,WB-LiRA,0.001,0.6299380060751985
ViT,CIFAR10,100,Head,-1,WB-LiRA,0.01,0.8512377422112248
ViT,CIFAR10,100,Head,-1,WB-LiRA,0.1,0.6582207227290375
ViT,CIFAR10,100,Head,-1,KL-LiRA,0.001,0.7988955889048817
ViT,CIFAR10,100,Head,-1,KL-LiRA,0.01,0.8851511855111285
ViT,CIFAR10,100,Head,-1,KL-LiRA,0.1,0.8009007322475937
ViT,CIFAR10,100,Head,8,ACC-LiRA,0.001,0.10595428439308864
ViT,CIFAR10,100,Head,8,ACC-LiRA,0.01,0.0831265940947753
ViT,CIFAR10,100,Head,8,ACC-LiRA,0.1,0.41106313560844043
ViT,CIFAR10,100,Head,8,WB-LiRA,0.001,0.1589121764927111
ViT,CIFAR10,100,Head,8,WB-LiRA,0.01,0.1367977291433071
ViT,CIFAR10,100,Head,8,WB-LiRA,0.1,0.2545923017467518
ViT,CIFAR10,100,Head,8,KL-LiRA,0.001,0.3696610761030923
ViT,CIFAR10,100,Head,8,KL-LiRA,0.01,0.28467387703353025
ViT,CIFAR10,100,Head,8,KL-LiRA,0.1,0.3297409902423635
ViT,CIFAR10,100,Head,1,ACC-LiRA,0.001,0.9075155291234075
ViT,CIFAR10,100,Head,1,ACC-LiRA,0.01,0.48177999898688517
ViT,CIFAR10,100,Head,1,ACC-LiRA,0.1,0.7843386285960264
ViT,CIFAR10,100,Head,1,WB-LiRA,0.001,0.3900929759207297
ViT,CIFAR10,100,Head,1,WB-LiRA,0.01,0.8301513787547714
ViT,CIFAR10,100,Head,1,WB-LiRA,0.1,0.9272794853119337
ViT,CIFAR10,100,Head,1,KL-LiRA,0.001,0.5894477807848602
ViT,CIFAR10,100,Head,1,KL-LiRA,0.01,0.7249736266788336
ViT,CIFAR10,100,Head,1,KL-LiRA,0.1,0.3425684186378545
ViT,CIFAR10,50,Head,-1,ACC-LiRA,0.001,0.03206996327415356
ViT,CIFAR10,50,Head,-1,ACC-LiRA,0.01,0.08726871676532917
ViT,CIFAR10,50,Head,-1,ACC-LiRA,0.1,0.14569988893973673
ViT,CIFAR10,50,Head,-1,WB-LiRA,0.001,0.49448718470278175
ViT,CIFAR10,50,Head,-1,WB-LiRA,0.01,0.5754566500081947
ViT,CIFAR10,50,Head,-1,WB-LiRA,0.1,0.8786745150340908
ViT,CIFAR10,50,Head,-1,KL-LiRA,0.001,0.4784138435151051
ViT,CIFAR10,50,Head,-1,KL-LiRA,0.01,0.40468017301158543
ViT,CIFAR10,50,Head,-1,KL-LiRA,0.1,0.5318464163453979
ViT,CIFAR10,50,Head,8,ACC-LiRA,0.001,0.24173115646861193
ViT,CIFAR10,50,Head,8,ACC-LiRA,0.01,0.280066437925779
ViT,CIFAR10,50,Head,8,ACC-LiRA,0.1,0.017524765784514007
ViT,CIFAR10,50,Head,8,WB-LiRA,0.001,0.8602285511567358
ViT,CIFAR10,50,Head,8,WB-LiRA,0.01,0.2779967130478642
ViT,CIFAR10,50,Head,8,WB-LiRA,0.1,0.8154852875512415
ViT,CIFAR10,50,Head,8,KL-LiRA,0.001,0.6025060387607486
ViT,CIFAR10,50,Head,8,KL-LiRA,0.01,0.7615621759734776
ViT,CIFAR10,50,Head,8,KL-LiRA,0.1,0.42378144612392693
R50,CIFAR10,100,Head,-1,ACC-LiRA,0.001,0.21081821578192766
R50,CIFAR10,100,Head,-1,ACC-LiRA,0.01,0.3847365479968082
R50,CIFAR10,100,Head,-1,ACC-LiRA,0.1,0.37992764604067075
R50,CIFAR10,100,Head,-1,WB-LiRA,0.001,0.7932388490574203
R50,CIFAR10,100,Head,-1,WB-LiRA,0.01,0.742384941806941
R50,CIFAR10,100,Head,-1,WB-LiRA,0.1,0.32031805263850466
R50,CIFAR10,100,Head,-1,KL-LiRA,0.001,0.2765873699488646
R50,CIFAR10,100,Head,-1,KL-LiRA,0.01,0.17984416446084633
R50,CIFAR10,100,Head,-1,KL-LiRA,0.1,0.6029013261937164
R50,CIFAR10,50,Head,-1,ACC-LiRA,0.001,0.896992800885611
R50,CIFAR10,50,Head,-1,ACC-LiRA,0.01,0.7552420987392835
R50,CIFAR10,50,Head,-1,ACC-LiRA,0.1,0.9420333910735154
R50,CIFAR10,50,Head,-1,WB-LiRA,0.001,0.889990549391432
R50,CIFAR10,50,Head,-1,WB-LiRA,0.01,0.866538017327786
R50,CIFAR10,50,Head,-1,WB-LiRA,0.1,0.8837586811058269
R50,CIFAR10,50,Head,-1,KL-LiRA,0.001,0.9048238763223858
R50,CIFAR10,50,Head,-1,KL-LiRA,0.01,0.855355008922397
R50,CIFAR10,50,Head,-1,KL-LiRA,0.1,0.8161741550995448
R50,CIFAR10,100,Head,8,ACC-LiRA,0.001,0.45168883468848203
R50,CIFAR10,100,Head,8,ACC-LiRA,0.01,0.6847447820135543
R50,CIFAR10,100,Head,8,ACC-LiRA,0.1,0.24455236057995988
R50,CIFAR10,100,Head,8,WB-LiRA,0.001,0.19896898835980267
R50,CIFAR10,100,Head,8,WB-LiRA,0.01,0.07565623188391472
R50,CIFAR10,100,Head,8,WB-LiRA,0.1,0.29937893131054016
R50,CIFAR10,100,Head,8,KL-LiRA,0.001,0.8340626273058067
R50,CIFAR10,100,Head,8,KL-LiRA,0.01,0.925400967908549
R50,CIFAR10,100,Head,8,KL-LiRA,0.1,0.8190562410488693
R50,CIFAR10,100,Head,1,ACC-LiRA,0.001,0.15541946181787028
R50,CIFAR10,100,Head,1,ACC-LiRA,0.01,0.302150197738169
R50,CIFAR10,100,Head,1,ACC-LiRA,0.1,0.5668004526793349
R50,CIFAR10,100,Head,1,WB-LiRA,0.001,0.0006628673402225774
R50,CIFAR10,100,Head,1,WB-LiRA,0.01,0.026205435123238887
R50,CIFAR10,100,Head,1,WB-LiRA,0.1,0.42494282640550896
R50,CIFAR10,100,Head,1,KL-LiRA,0.001,0.7811611559289826
R50,CIFAR10,100,Head,1,KL-LiRA,0.01,0.2116160404667513
R50,CIFAR10,100,Head,1,KL-LiRA,0.1,0.6342390667644948
ViT,CIFAR100,100,Head,-1,ACC-LiRA,0.001,0.1571024229801127
ViT,CIFAR100,100,Head,-1,ACC-LiRA,0.01,0.2206185475323114
ViT,CIFAR100,100,Head,-1,ACC-LiRA,0.1,0.2963738925745289
ViT,CIFAR100,100,Head,-1,WB-LiRA,0.001,0.7646601530457049
ViT,CIFAR100,100,Head,-1,WB-LiRA,0.01,0.8957638958860454
ViT,CIFAR100,100,Head,-1,WB-LiRA,0.1,0.34786256121401865
ViT,CIFAR100,100,Head,-1,KL-LiRA,0.001,0.21187159201002512
ViT,CIFAR100,100,Head,-1,KL-LiRA,0.01,0.2882802156429091
ViT,CIFAR100,100,Head,-1,KL-LiRA,0.1,0.3806981470342963
R50,CIFAR100,50,Head,-1,ACC-LiRA,0.001,0.9733805143896969
R50,CIFAR100,50,Head,-1,ACC-LiRA,0.01,0.5854715002188121
R50,CIFAR100,50,Head,-1,ACC-LiRA,0.1,0.1157455375177319
R50,CIFAR100,50,Head,-1,WB-LiRA,0.001,0.020159308041862778
R50,CIFAR100,50,Head,-1,WB-LiRA,0.01,0.10130201556614496
R50,CIFAR100,50,Head,-1,WB-LiRA,0.1,0.42209030825058946
R50,CIFAR100,50,Head,-1,KL-LiRA,0.001,0.044103289770578466
R50,CIFAR100,50,Head,-1,KL-LiRA,0.01,0.11245640823513102
R50,CIFAR100,50,Head,-1,KL-LiRA,0.1,0.14623962764748888
ViT,CIFAR100,100,Head,8,ACC-LiRA,0.001,0.10753304688906626
ViT,CIFAR100,100,Head,8,ACC-LiRA,0.01,0.07417202740777042
ViT,CIFAR100,100,Head,8,ACC-LiRA,0.1,0.08126331620316712
ViT,CIFAR100,100,Head,8,WB-LiRA,0.001,0.858611934397549
ViT,CIFAR100,100,Head,8,WB-LiRA,0.01,0.9696352396535781
ViT,CIFAR100,100,Head,8,WB-LiRA,0.1,0.9771356358803058
ViT,CIFAR100,100,Head,8,KL-LiRA,0.001,0.04076334737103838
ViT,CIFAR100,100,Head,8,KL-LiRA,0.01,0.013938921629940893
ViT,CIFAR100,100,Head,8,KL-LiRA,0.1,0.40600793016073194
ViT,CIFAR100,50,Head,1,ACC-LiRA,0.001,0.23979780019995472
ViT,CIFAR100,50,Head,1,ACC-LiRA,0.01,0.008152671697734572
ViT,CIFAR100,50,Head,1,ACC-LiRA,0.1,0.25909182077160914
ViT,CIFAR100,50,Head,1,WB-LiRA,0.001,0.7838711080718458
ViT,CIFAR100,50,Head,1,WB-LiRA,0.01,0.6748335347358809
ViT,CIFAR100,50,Head,1,WB-LiRA,0.1,0.30970577326836296
ViT,CIFAR100,50,Head,1,KL-LiRA,0.001,0.09341444524733862
ViT,CIFAR100,50,Head,1,KL-LiRA,0.01,0.028641564806090872
ViT,CIFAR100,50,Head,1,KL-LiRA,0.1,0.0023157644417269386
R50,CIFAR10,50,FiLM,-1,ACC-LiRA,0.001,0.876814255326499
R50,CIFAR10,50,FiLM,-1,ACC-LiRA,0.01,0.8806219358189586
R50,CIFAR10,50,FiLM,-1,ACC-LiRA,0.1,0.7825182497814118
R50,CIFAR10,50,FiLM,-1,WB-LiRA,0.001,0.9063889323810428
R50,CIFAR10,50,FiLM,-1,WB-LiRA,0.01,0.9832425609604843
R50,CIFAR10,50,FiLM,-1,WB-LiRA,0.1,0.8931939434437253
R50,CIFAR10,50,FiLM,-1,KL-LiRA,0.001,0.9823689382549876
R50,CIFAR10,50,FiLM,-1,KL-LiRA,0.01,0.9375099689462381
R50,CIFAR10,50,FiLM,-1,KL-LiRA,0.1,0.698341062233214
R50,CIFAR10,50,FiLM,8,ACC-LiRA,0.001,0.40817836251425044
R50,CIFAR10,50,FiLM,8,ACC-LiRA,0.01,0.3190855634665323
R50,CIFAR10,50,FiLM,8,ACC-LiRA,0.1,0.09781667452418535
R50,CIFAR10,50,FiLM,8,WB-LiRA,0.001,0.4519664005688411
R50,CIFAR10,50,FiLM,8,WB-LiRA,0.01,0.5654638924015878
R50,CIFAR10,50,FiLM,8,WB-LiRA,0.1,0.17522319536039244
R50,CIFAR10,50,FiLM,8,KL-LiRA,0.001,0.9333924868610717
R50,CIFAR10,50,FiLM,8,KL-LiRA,0.01,0.21537777081131865
R50,CIFAR10,50,FiLM,8,KL-LiRA,0.1,0.19326928347707462
R50,CIFAR10,50,FiLM,1,ACC-LiRA,0.001,0.2921168603263158
R50,CIFAR10,50,FiLM,1,ACC-LiRA,0.01,0.9779191544792226
R50,CIFAR10,50,FiLM,1,ACC-LiRA,0.1,0.8739060656505332
R50,CIFAR10,50,FiLM,1,WB-LiRA,0.001,0.2652648869491164
R50,CIFAR10,50,FiLM,1,WB-LiRA,0.01,0.052964752819390636
R50,CIFAR10,50,FiLM,1,WB-LiRA,0.1,0.013031956178706044
R50,CIFAR10,50,FiLM,1,KL-LiRA,0.001,0.18582112316704086
R50,CIFAR10,50,FiLM,1,KL-LiRA,0.01,0.07642521061865182
