Dataset,Model,Parameterization,Shots,HPO,MIA,DP,Seed,N,TPR@FPR=0.001,TPR@FPR=0.00316,TPR@FPR=0.01,TPR@FPR=0.03162,TPR@FPR=0.1,TPR@FPR=0.31623,TPR@FPR=1.0,Classes
CIFAR10,ViT,Head,100,TD,ACC-LiRA,-1,0,129,0.0129147286821705,0.0273023255813953,0.0513100775193798,0.0961317829457364,0.1936589147286821,0.4281782945736434,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,-1,0,129,0.0702093023255814,0.0926511627906976,0.1256201550387597,0.1840232558139534,0.2971705426356589,0.5459689922480621,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,-1,0,129,0.0846899224806201,0.1049457364341085,0.136813953488372,0.192968992248062,0.3065193798449612,0.5533488372093023,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,-1,1,129,0.0070666170219367,0.0182056532936175,0.0449362375500325,0.093526016941264,0.1870520338825281,0.4218483353501505,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,-1,1,129,0.045021564429551,0.0807502559806385,0.1191628657420335,0.1802336405100996,0.2945173601414875,0.543431381674889,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,-1,1,129,0.0776784883179745,0.099661795277545,0.1322799342207329,0.1890998789909708,0.3031586459399919,0.5483570697198176,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,-1,2,129,0.0164795111207618,0.0313149486614759,0.0563405403728634,0.098473803393616,0.1890917268976641,0.4150742935136644,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,-1,2,129,0.0718661786146353,0.0929134224648695,0.1238561280516177,0.180111362719856,0.2921875484691503,0.5418695908428204,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,-1,2,129,0.0765967676893011,0.0983574774327636,0.1292381425070571,0.1829807364208828,0.2934050935260725,0.5429010143623786,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,-1,3,129,0.0189055266484176,0.0341354094775777,0.0578254767092906,0.0978155509200741,0.1912575509666012,0.4238622176384376,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,-1,3,129,0.0695192971300511,0.08871174112301,0.1221337345006475,0.1784315702133269,0.2900889443768077,0.5331699713858108,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,-1,3,129,0.0755445613654163,0.0952720674333304,0.1285079522631574,0.1859999844909543,0.2989446094434579,0.5454066084043518,1.0,10
