Dataset,Shots,Parameterization,Model,MIA,DP,W,FPR,mu_diff
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.34600943704655446,0.001,0.0009591561540332003
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.6726085383962678,0.01,0.002068433144172807
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.3392428769359492,0.1,0.0008277986823954087
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.3668795988106874,0.001,0.0006522008203566493
CIFAR10,100,Head,ViT,WB-LiRA,-1,1.2660350435528052,0.01,0.002214293863937039
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.45120076105423995,0.1,0.0013492443477274296
CIFAR10,100,Head,ViT,KL-LiRA,-1,1.2836885723190465,0.001,0.010934125004167239
CIFAR10,100,Head,ViT,KL-LiRA,-1,1.928694525563906,0.01,0.006127329994962419
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.9754900898862265,0.1,0.0028494007327552473
CIFAR10,100,Head,ViT,ACC-LiRA,8,-1.6856278200598613,0.001,-0.0003040567174340204
CIFAR10,100,Head,ViT,ACC-LiRA,8,-2.2091396569187576,0.01,-0.0018055986508324975
CIFAR10,100,Head,ViT,ACC-LiRA,8,-0.22903993703705453,0.1,-0.00025572201153051255
CIFAR10,100,Head,ViT,WB-LiRA,8,-1.349074892912446,0.001,-0.0003537544038875601
CIFAR10,100,Head,ViT,WB-LiRA,8,-1.2936143057541483,0.01,-0.0007788993843962019
CIFAR10,100,Head,ViT,WB-LiRA,8,-0.9913089805386583,0.1,-0.0020233810864917767
CIFAR10,100,Head,ViT,KL-LiRA,8,-0.49114633077873693,0.001,-0.00021248202913908
CIFAR10,100,Head,ViT,KL-LiRA,8,-0.873879130087463,0.01,-0.0009244322019867808
CIFAR10,100,Head,ViT,KL-LiRA,8,-0.5474025358326967,0.1,-0.0011096722240166168
CIFAR10,100,Head,ViT,ACC-LiRA,1,1.5969635294216444,0.001,0.00014737111809032017
CIFAR10,100,Head,ViT,ACC-LiRA,1,-0.0536572698408519,0.01,-1.691854913423753e-05
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.9181265416586292,0.1,0.000994209746266267
CIFAR10,100,Head,ViT,WB-LiRA,1,-0.211905671601043,0.001,-2.1697477849479813e-05
CIFAR10,100,Head,ViT,WB-LiRA,1,0.7440712089765382,0.01,0.0003101974774226794
CIFAR10,100,Head,ViT,WB-LiRA,1,1.2943360486811875,0.1,0.0010331709588197735
CIFAR10,100,Head,ViT,KL-LiRA,1,0.2570004440710735,0.001,2.9525860880100143e-05
CIFAR10,100,Head,ViT,KL-LiRA,1,0.7109833024479828,0.01,0.00030393964380763874
CIFAR10,100,Head,ViT,KL-LiRA,1,-0.44536723330633476,0.1,-0.00036448324346061156
CIFAR10,50,Head,ViT,ACC-LiRA,-1,-2.0363687729133604,0.001,-0.0048235536691663555
CIFAR10,50,Head,ViT,ACC-LiRA,-1,-1.5975035906785904,0.01,-0.008472624552968551
CIFAR10,50,Head,ViT,ACC-LiRA,-1,-1.1339796058784444,0.1,-0.005998612170523304
