Dataset,Shots,Parameterization,Model,MIA,DP,p,FPR
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.7642728977847192,0.001
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.5609702551969694,0.01
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.7598451331336576,0.1
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.7421915645954906,0.001
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.26270971236601076,0.01
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.6861657114671638,0.1
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.2835124922930159,0.001
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.11744158769035509,0.01
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.3907338024825179,0.1
CIFAR10,100,Head,ViT,ACC-LiRA,8,0.1378465753536281,0.001
CIFAR10,100,Head,ViT,ACC-LiRA,8,0.07296016710090389,0.01
CIFAR10,100,Head,ViT,ACC-LiRA,8,0.8097418797575245,0.1
CIFAR10,100,Head,ViT,WB-LiRA,8,0.20169250309490444,0.001
CIFAR10,100,Head,ViT,WB-LiRA,8,0.2100121851315522,0.01
CIFAR10,100,Head,ViT,WB-LiRA,8,0.3731556254732325,0.1
CIFAR10,100,Head,ViT,KL-LiRA,8,0.6655659071725206,0.001
CIFAR10,100,Head,ViT,KL-LiRA,8,0.4409472616160901,0.01
CIFAR10,100,Head,ViT,KL-LiRA,8,0.6172438841039064,0.1
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.09470541151717536,0.001
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.9536980955223452,0.01
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.3676681340352984,0.1
CIFAR10,100,Head,ViT,WB-LiRA,1,0.8203486802746411,0.001
CIFAR10,100,Head,ViT,WB-LiRA,1,0.4750069569628449,0.01
CIFAR10,100,Head,ViT,WB-LiRA,1,0.14099312358611896,0.1
CIFAR10,100,Head,ViT,KL-LiRA,1,0.7943245576357577,0.001
CIFAR10,100,Head,ViT,KL-LiRA,1,0.496957984100039,0.01
CIFAR10,100,Head,ViT,KL-LiRA,1,0.5990579580444384,0.1
CIFAR10,50,Head,ViT,ACC-LiRA,-1,0.10371104307172287,0.001
CIFAR10,50,Head,ViT,ACC-LiRA,-1,0.18850351050817837,0.01
CIFAR10,50,Head,ViT,ACC-LiRA,-1,0.3313000366969577,0.1
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.9929912800945897,0.001
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.9106719296807533,0.01
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.3682477442691461,0.1
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.9512754136228944,0.001
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.7849514965086755,0.01
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.9272300252816204,0.1
CIFAR10,50,Head,ViT,ACC-LiRA,8,0.5404088535477465,0.001
CIFAR10,50,Head,ViT,ACC-LiRA,8,0.5835216323613946,0.01
CIFAR10,50,Head,ViT,ACC-LiRA,8,0.11311264179320257,0.1
CIFAR10,50,Head,ViT,WB-LiRA,8,0.17892146436713638,0.001
CIFAR10,50,Head,ViT,WB-LiRA,8,0.5486359371182774,0.01
CIFAR10,50,Head,ViT,WB-LiRA,8,0.5273055037225727,0.1
CIFAR10,50,Head,ViT,KL-LiRA,8,0.7595422277619139,0.001
CIFAR10,50,Head,ViT,KL-LiRA,8,0.4398461558785032,0.01
CIFAR10,50,Head,ViT,KL-LiRA,8,0.8374691542749635,0.1
CIFAR10,100,Head,R50,ACC-LiRA,-1,0.3883874876246729,0.001
CIFAR10,100,Head,R50,ACC-LiRA,-1,0.7025207714448449,0.01
CIFAR10,100,Head,R50,ACC-LiRA,-1,0.7043061712237995,0.1
CIFAR10,100,Head,R50,WB-LiRA,-1,0.4654642570320553,0.001
CIFAR10,100,Head,R50,WB-LiRA,-1,0.7164597330907556,0.01
CIFAR10,100,Head,R50,WB-LiRA,-1,0.8818546849858626,0.1
CIFAR10,100,Head,R50,KL-LiRA,-1,0.5328098008350425,0.001
CIFAR10,100,Head,R50,KL-LiRA,-1,0.6844006857444817,0.01
CIFAR10,100,Head,R50,KL-LiRA,-1,0.9550583222191352,0.1
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.17712904581390546,0.001
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.46486510893592403,0.01
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.24412369220634783,0.1
CIFAR10,50,Head,R50,WB-LiRA,-1,0.2425266118982008,0.001
CIFAR10,50,Head,R50,WB-LiRA,-1,0.5749285222926636,0.01
CIFAR10,50,Head,R50,WB-LiRA,-1,0.6402555081127734,0.1
CIFAR10,50,Head,R50,KL-LiRA,-1,0.05927986277182823,0.001
CIFAR10,50,Head,R50,KL-LiRA,-1,0.4432868850200664,0.01
CIFAR10,50,Head,R50,KL-LiRA,-1,0.6211990600321791,0.1
